customer_id,app_version,phone_model,customer_signed_up_at_local_time,num_days_between_signup_and_first_ride,has_completed_in_app_safety_quiz
2555827,4.0.0,SM-G996U,2021-11-13 20:56:12,0,false
3827438,4.0.0,SM-F711U1,2023-05-22 20:55:46,0,false
2373972,4.0.0,SM-G991U1,2021-09-09 14:25:37,0,false
2393186,4.0.0,iPhone 12,2021-09-14 00:50:37,0,false
3825751,4.0.0,iPhone 13 Mini,2023-05-22 12:54:33,0,false
3919456,4.0.1,SM-A037U,2023-06-14 21:51:03,0,false
3226003,4.0.1,SM-A326U,2022-08-21 18:04:40,0,false
1455762,4.0.1,SM-G986U,2020-05-07 12:23:37,0,false
3933430,4.0.1,SM-S918U,2023-06-17 21:28:43,0,false
2463059,4.0.1,iPhone 11,2021-10-07 20:43:31,0,false
3473923,4.0.1,iPhone 13 Pro,2022-11-07 21:59:44,0,false
2343809,4.0.1,iPhone 13 Mini,2021-09-03 14:06:31,1,false
3954532,4.0.1,moto g 5G (2022),2023-06-23 09:53:47,0,false
2373797,4.0.1,iPhone 12 Pro Max,2021-09-09 13:02:38,1,false
3487288,4.0.2,SM-G973U,2022-11-18 15:01:13,0,false
3545031,4.0.2,SM-N986U,2023-01-13 06:47:50,122,false
2664544,4.0.2,iPhone 11,2022-02-21 16:29:04,197,false
3635044,4.0.2,iPhone 13,2023-03-22 17:08:44,0,false
3937807,4.0.2,iPhone 13,2023-06-18 17:19:39,0,false
2302816,4.0.2,iPhone 14,2021-08-25 14:10:35,0,false
4024920,4.0.3,SM-S901U,2023-07-06 07:33:24,1,false
3870736,4.0.3,SM-S906U,2023-06-02 20:47:25,119,false
2615964,4.0.3,SM-S134DL,2022-01-02 06:08:49,0,false
4031181,4.0.3,iPhone 12,2023-07-07 17:47:01,77,false
2528542,4.0.3,iPhone 12,2021-10-31 15:47:29,0,false
3447241,4.0.3,iPhone 12,2022-10-27 12:45:09,0,false
2664249,4.0.3,Pixel 6 Pro,2022-02-21 13:42:33,48,false
4126148,4.0.4,B140DL,2023-07-28 04:30:22,0,false
4131182,4.0.4,Pixel 7a,2023-07-29 12:15:05,42,false
4102476,4.0.4,SM-A135U,2023-07-22 18:29:00,42,false
1518762,4.0.4,SM-A146U,2020-07-11 19:20:43,0,false
3716153,4.0.4,SM-G981V,2023-04-16 20:16:32,149,false
4110390,4.0.4,TAB-8US2,2023-07-23 20:08:05,13,false
3468969,4.0.4,SM-A546U1,2022-11-05 18:49:24,0,true
4079078,4.0.4,SM-G781U1,2023-07-17 11:06:05,0,false
4106713,4.0.4,SM-S908U1,2023-07-23 08:27:18,0,false
3377523,4.0.4,iPhone 11,2022-09-30 19:45:04,3,false
2410896,4.0.4,iPhone 13,2021-09-18 23:01:04,0,false
2993309,4.0.4,Pixel 6 Pro,2022-06-23 21:25:25,2,false
4002171,4.0.4,iPhone 14 Pro,2023-07-02 13:27:48,0,true
4033074,4.0.4,iPhone 13 Mini,2023-07-07 22:15:37,1,true
2485856,4.0.4,moto e6 (XT2005DL),2021-10-15 14:13:19,189,false
4092821,4.0.5,G65,2023-07-20 22:48:36,1,false
4261862,4.0.5,X8G,2023-08-30 17:41:51,16,false
3430010,4.0.5,Pixel 5,2022-10-19 12:29:09,92,false
3516677,4.0.5,Pixel 6,2022-12-12 08:57:56,0,false
4271991,4.0.5,Pixel 6,2023-09-02 08:16:44,0,false
2929421,4.0.5,Pixel 6,2022-06-05 14:04:36,0,false
1410972,4.0.5,Pixel 7,2019-12-29 16:27:06,0,false
4167397,4.0.5,Pixel 7,2023-08-07 14:19:57,6,false
4298827,4.0.5,Pixel 7,2023-09-08 10:14:11,0,false
3587430,4.0.5,Pixel 4a,2023-02-21 21:12:28,0,false
2183315,4.0.5,Pixel 5a,2021-07-17 23:14:57,42,false
1845183,4.0.5,Pixel 6a,2021-03-22 09:02:36,0,false
4310226,4.0.5,Pixel 7a,2023-09-10 16:59:18,0,false
4176614,4.0.5,SM-A037U,2023-08-10 21:01:30,0,false
3383288,4.0.5,SM-A037U,2022-10-01 22:00:29,3,false
4149549,4.0.5,SM-A037U,2023-08-03 01:47:27,0,false
4211180,4.0.5,SM-A136U,2023-08-18 21:33:37,18,false
4283578,4.0.5,SM-A146U,2023-09-03 18:13:05,0,false
4288298,4.0.5,SM-A326U,2023-09-04 15:37:47,0,false
4291071,4.0.5,SM-A336M,2023-09-05 08:27:31,4,false
4265730,4.0.5,SM-A426U,2023-08-31 21:03:28,18,false
4301571,4.0.5,SM-A505U,2023-09-08 22:54:42,1,false
4242451,4.0.5,SM-A515U,2023-08-25 21:24:18,0,false
3924277,4.0.5,SM-G781U,2023-06-16 11:16:57,0,false
4303477,4.0.5,SM-G950U,2023-09-09 12:36:58,0,false
3243870,4.0.5,SM-G960U,2022-08-26 12:09:10,220,false
2215060,4.0.5,SM-G965U,2021-07-31 14:09:30,414,false
4201353,4.0.5,SM-G973N,2023-08-16 19:40:55,0,false
4248079,4.0.5,SM-G975U,2023-08-26 20:39:28,6,false
4288903,4.0.5,SM-G975U,2023-09-04 17:34:34,0,false
4251155,4.0.5,SM-G998U,2023-08-27 11:01:15,0,false
4228615,4.0.5,SM-S901U,2023-08-21 20:25:37,0,false
4260111,4.0.5,SM-S911U,2023-08-29 23:01:10,10,false
2489226,4.0.5,SM-S918U,2021-10-16 12:48:46,693,false
4299340,4.0.5,SM-S918U,2023-09-08 14:19:16,0,false
4288927,4.0.5,COSMAS_TF,2023-09-04 17:38:08,0,false
3661267,4.0.5,SM-G965U1,2023-04-01 17:23:09,15,false
3557181,4.0.5,SM-G975U1,2023-01-27 09:40:09,0,false
4156941,4.0.5,SM-G991U1,2023-08-05 00:58:11,35,true
4309014,4.0.5,SM-G998U1,2023-09-10 10:51:00,0,false
4190721,4.0.5,SM-S134DL,2023-08-13 18:35:06,0,false
3399125,4.0.5,SM-S546VL,2022-10-08 07:28:53,0,false
4260609,4.0.5,SM-S901U1,2023-08-30 09:44:49,0,false
