vehicle_id,vehicle_type,firmware_version
1101051764,sitdown scooter,DYLmtuLT3lIVe8c0hu7ULQ==
1101021400,sitdown scooter,FRb7xwal/NPRKSGLTfu2fA==
1001048609,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001022510,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001023648,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001017250,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001044175,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001048558,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001044452,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001023814,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001021550,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001022073,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001044425,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001044552,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001023784,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001023603,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001043585,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001024027,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001023901,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001023098,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001023631,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001024116,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001023632,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001044369,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001019242,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001022418,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001021065,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001044469,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001019441,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001043482,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001048541,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001024059,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001023729,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001048663,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001043688,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001018619,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001017561,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001022403,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
